Reference,Value,MPN,Footprint,LCSC_Part,Manufacturer,Description,Stage,Qty,Stock,Price_USD,Status,URL,Notes
R_GPIO12,10k 1%,RC0402FR-0710KL,0402,C60490,YAGEO,Pull-down GPIO12 strapping CRITICO,2,1,16700,0.0005,in_stock,https://www.lcsc.com/product-detail/C60490.html,Mesmo que R_GPIO0. CRITICO: GPIO12 HIGH no boot = falha flash!
R_GPIO5,10k 1%,RC0402FR-0710KL,0402,C60490,YAGEO,Pull-up GPIO5 CAN_STB,2,1,16700,0.0005,in_stock,https://www.lcsc.com/product-detail/C60490.html,Mesmo que R_GPIO0
R_LED,330R,RC0402FR-07330RL,0402,C105875,YAGEO,Serie LED status GPIO2,2,1,635700,0.0005,in_stock,https://www.lcsc.com/product-detail/C105875.html,YAGEO RC0402FR-07330RL 330R 1% 0402 (635K estoque).
U_CAN,TCAN1044V,TCAN1044VDRQ1,SOIC-8,C1852061,TI,CAN transceiver ISO11898-2 automotivo,3,1,2973,0.2928,in_stock,https://www.lcsc.com/product-detail/C1852061.html,
TVS2,PESD2CAN,PESD2CAN,SOT-363,C21713986,GOODWORK,ESD/TVS CANH/CANL,3,1,10480,0.0168,in_stock,https://www.lcsc.com/product-detail/C21713986.html,
FB1,600R@100MHz,BLM21AG601SN1D,0805,C85837,muRata,Ferrite EMI CANH,3,1,41920,0.0191,in_stock,https://www.lcsc.com/product-detail/C85837.html,SUBSTITUIDO: BLM21PG601SN1 sem estoque. BLM21AG601SN1D 600R@100MHz 0805 drop-in replacement.
FB2,600R@100MHz,BLM21AG601SN1D,0805,C85837,muRata,Ferrite EMI CANL,3,1,41920,0.0191,in_stock,https://www.lcsc.com/product-detail/C85837.html,Mesmo que FB1.
CMC1,900R@100MHz,DLW21SN900SQ2L,SMD-4P-2x1.25,C97856,muRata,Common mode choke CAN,3,1,77720,0.0330,in_stock,https://www.lcsc.com/product-detail/C97856.html,SUBSTITUIDO: ACM2012H-900-2P-T estoque 40. DLW21SN900SQ2L Murata 900R 2012 77720 em estoque.
Q4,BSS138,BSS138,SOT-23,C49435659,Huixin,N-MOSFET chave terminacao CAN,3,1,2760,0.0232,in_stock,https://www.lcsc.com/product-detail/C49435659.html,
R_TERM,120R 1%,RC0402FR-07120RL,0402,C114758,YAGEO,Terminacao CAN,3,1,78800,0.0005,in_stock,https://www.lcsc.com/product-detail/C114758.html,YAGEO RC0402FR-07120RL 120R 1% 0402 (78.8K estoque).
R_CAN_G1,10k 1%,RC0402FR-0710KL,0402,C60490,YAGEO,Divider CAN_RX 5V->3.3V (top),3,1,16700,0.0005,in_stock,https://www.lcsc.com/product-detail/C60490.html,Mesmo que R_GPIO0
R_CAN_G2,20k 1%,RC0402FR-0720KL,0402,C93942,YAGEO,Divider CAN_RX 5V->3.3V (bot),3,1,650900,0.0005,in_stock,https://www.lcsc.com/product-detail/C93942.html,YAGEO RC0402FR-0720KL 20k 1% 0402 (650K estoque).
U_KLINE,L9637D,L9637D,SO-8,C153038,ST,K-Line transceiver ISO9141 KWP2000,4,1,1022,1.0001,in_stock,https://www.lcsc.com/product-detail/C153038.html,Part legado - estoque 1022. Se zero: alternativa MC33290 (NXP) - pinout diferente.
U_LS1,74LVC1T45,74LVC1T45GW,SOT23-6,C478004,Nexperia,Level shifter 3.3V<->5V K-Line TX,4,1,4100,0.1581,in_stock,https://www.lcsc.com/product-detail/C478004.html,
TVS3,SMCJ24A,SMCJ24A,SMC,C42440493,TECH PUBLIC,TVS 24V/1500W K-Line,4,1,5645,0.0558,in_stock,https://www.lcsc.com/product-detail/C42440493.html,
R_K,100R,RC0402FR-07100RL,0402,C106232,YAGEO,Serie K-Line,4,1,524500,0.0005,in_stock,https://www.lcsc.com/product-detail/C106232.html,YAGEO RC0402FR-07100RL 100R 1% 0402 (524K estoque).
R_KPU,510R,RC0402FR-07510RL,0402,C276273,YAGEO,Pull-up K-Line,4,1,216500,0.0005,in_stock,https://www.lcsc.com/product-detail/C276273.html,YAGEO RC0402FR-07510RL 510R 1% 0402 (216K estoque).
U_GNSS,NEO-M9N,NEO-M9N-00B,LGA,C5119087,U-BLOX,GNSS 10Hz multi-constellation,5,1,327,15.8430,in_stock,https://www.lcsc.com/product-detail/C5119087.html,SURPRESA: NEO-M9N encontrado na LCSC! Estoque 200 (baixo - reservar logo).
FB_GNSS,600R@100MHz,BLM21AG601SN1D,0805,C85837,muRata,Ferrite isolamento VCC GNSS,5,1,41920,0.0191,in_stock,https://www.lcsc.com/product-detail/C85837.html,Mesmo que FB1/FB2.
L_FILT,10uH shielded,SPM5015T-100M-LR,SMD5415,C5372747,TDK,Indutor shielded filtro pos-Buck GNSS,5,1,950,0.1549,in_stock,https://www.lcsc.com/product-detail/C5372747.html,SUBSTITUIDO: SRR0604-100Y nao encontrado. SPM5015T-100M 10uH 5.4x5.1mm. Verificar Isat e altura.
BAT1,0.1F/5.5V,ASR-S-7-0.1F,SMD5930,C6075508,Yezhan,Supercap backup GNSS hot-start,5,1,3794,0.3875,in_stock,https://www.lcsc.com/product-detail/C6075508.html,SUBSTITUIDO: CPX3225A nao encontrado na LCSC. ASR-S-7-0.1F 0.1F/5.5V package 5.9x3.0mm. Verificar tensao de trabalho OK para NEO-M9N V_BACKUP.
J_ANT,U.FL 50R,,,C88374,HRS,Conector antena GNSS externa,5,1,238920,0.0769,in_stock,https://www.lcsc.com/product-detail/C88374.html,SMD IPEX/U.FL 50 ohm.
C_GNSS,100nF X7R,CL05B104KO5NNNC,0402,C1525,Samsung Electro-Mechanics,Bypass GNSS VCC,5,2,7329000,0.0007,in_stock,https://www.lcsc.com/product-detail/C1525.html,Mesmo que C_IN/C_BOOT
J_SD,MicroSD push-push,,,C393941,SHOU HAN,Slot MicroSD horizontal push-push SMD,6,1,142690,0.0350,in_stock,https://www.lcsc.com/product-detail/C393941.html,
ESD1,PRTR5V0U2X,PRTR5V0U2X,SOT363,C53446675,R+O,ESD header expansao 1,6,1,8845,0.0430,in_stock,https://www.lcsc.com/product-detail/C53446675.html,
ESD2,PRTR5V0U2X,PRTR5V0U2X,SOT363,C53446675,R+O,ESD header expansao 2,6,1,8845,0.0430,in_stock,https://www.lcsc.com/product-detail/C53446675.html,
NTC1,10k B=3950,NCP15WF104F03RC,0402,C77130,muRata,NTC termistor temp interna,6,1,239400,0.0064,in_stock,https://www.lcsc.com/product-detail/C77130.html,muRata NCP15WF104F03RC 10k 0402 B=3950 -40+125C (239K estoque).
R_I2C_SDA,4.7k,RC0402FR-074K7L,0402,C105871,YAGEO,Pull-up I2C SDA GPIO21,6,1,1963600,0.0005,in_stock,https://www.lcsc.com/product-detail/C105871.html,YAGEO RC0402FR-074K7L 4.7k 1% 0402 (1.96M estoque).
R_I2C_SCL,4.7k,RC0402FR-074K7L,0402,C105871,YAGEO,Pull-up I2C SCL GPIO22,6,1,1963600,0.0005,in_stock,https://www.lcsc.com/product-detail/C105871.html,Mesmo que R_I2C_SDA
